"(lat,lon)"
"(40.3799583, -79.934684)"
"(40.3828928, -79.93294100000003)"
"(40.3835573, -79.93285459999998)"
"(40.3877697, -79.93258229999998)"
"(40.4096963, -79.96363489999999)"
"(40.3976366, -79.93531259999997)"
"(40.4069355, -79.94416509999996)"
"(40.426115, -79.953443)"
"(40.42601459999999, -79.9536276)"
"(40.4270018, -79.96270279999999)"
"(40.4286752, -79.96526159999996)"
"(40.4278165, -79.96396379999999)"
"(40.4285258, -79.96023989999998)"
"(40.4248911, -79.95273530000003)"
"(40.4264987, -79.95036190000002)"
"(40.4445236, -79.94674420000001)"
"(40.4412913, -79.94917650000002)"
"(40.43713839999999, -79.94679280000003)"
"(40.4350837, -79.9473605)"
"(40.4352799, -79.9466205)"
"(40.4344227, -79.95013540000002)"
"(40.4354221, -79.96555219999999)"
"(40.4313862, -79.95907790000001)"
"(40.4278341, -79.94903579999999)"
"(40.42854, -79.93785359999998)"
"(40.4152123, -79.91573640000001)"
"(40.41063159999999, -79.91848119999997)"
"(40.4269221, -79.9269607)"
"(40.4255452, -79.9061633)"
"(40.4394986, -79.9003386)"
"(40.4626607, -79.90555219999999)"
"(40.4677158, -79.9076005)"
"(40.4673433, -79.9089864)"
"(40.464745, -79.91887250000002)"
"(40.4669709, -79.91601880000002)"
"(40.4890717, -79.91219639999997)"
"(40.49102910000001, -79.93798119999997)"
"(40.4875741, -79.91902600000003)"
"(40.4831237, -79.9198915)"
"(40.4811336, -79.91736609999998)"
"(40.4646256, -79.91894589999998)"
"(40.45996410000001, -79.92107450000003)"
"(40.4590194, -79.92505540000002)"
"(40.4562562, -79.9334412)"
"(40.453879, -79.93736480000001)"
"(40.4545892, -79.94296800000001)"
"(40.4552834, -79.9441511)"
"(40.4569807, -79.9474768)"
"(40.4612917, -79.95498329999998)"
"(40.4557968, -79.96586070000001)"
"(40.4559818, -79.97335829999997)"
"(40.4602873, -79.96644529999998)"
"(40.462997, -79.97595489999998)"
"(40.46396439999999, -79.9790956)"
"(40.4642071, -79.97966810000003)"
"(40.4657026, -79.9811762)"
"(40.4727652, -79.9686365)"
"(40.4562534, -79.99129470000003)"
"(40.4546004, -79.9943394)"
"(40.4515097, -79.99065589999998)"
"(40.44345850000001, -80.00604779999998)"
"(40.4466194, -79.99970989999997)"
"(40.4460111, -80.00135660000001)"
"(40.4456086, -80.0033191)"
"(40.4384688, -80.00583499999999)"
"(40.4379291, -80.00488380000002)"
"(40.4368845, -80.00190029999999)"
"(40.4362011, -80.00031059999998)"
"(40.4361662, -79.99584270000003)"
"(40.432843, -79.9966422)"
"(40.4369144, -79.97251589999996)"
"(40.4372965, -80.00272259999997)"
"(40.4350027, -80.002047)"
"(40.4305299, -80.002001)"
"(40.4277805, -79.99281430000002)"
"(40.4256687, -79.9855508)"
"(40.4290461, -79.99741080000001)"
"(40.4304058, -80.0023928)"
"(40.4103747, -80.0062795)"
"(40.4061452, -80.00387360000002)"
"(40.4020217, -80.0010886)"
"(40.3944866, -79.99733950000001)"
"(40.3816182, -79.99574619999999)"
"(40.378921, -79.99374209999996)"
"(40.3767599, -79.9945447)"
"(40.4123417, -79.96844010000001)"
"(40.4232261, -79.97431919999997)"
"(40.4236051, -79.97680160000004)"
"(40.4333631, -79.9735197)"
"(40.4350633, -79.98281850000001)"
"(40.4326143, -79.9891725)"
"(40.4498144, -79.99328129999998)"
"(40.456508, -79.9980946)"
"(40.4571012, -79.99831410000002)"
"(40.4767338, -80.00761729999999)"
"(40.4723633, -80.00494150000003)"
"(40.4711404, -80.0079078)"
"(40.4830914, -80.00773019999997)"
"(40.4415086, -80.00900089999999)"
"(40.4450795, -80.01472000000001)"
"(40.4511429, -80.01048639999999)"
"(40.4516114, -80.0106677)"
"(40.4523486, -80.01311149999998)"
"(40.4539617, -80.01465339999999)"
"(40.4556081, -80.01796890000003)"
"(40.4585371, -80.02373190000003)"
"(40.4618595, -80.03117750000001)"
"(40.4716696, -80.036765)"
"(40.4817606, -80.0256119)"
"(40.47597469999999, -80.03278569999998)"
"(40.4880161, -80.04568979999999)"
"(40.4813207, -80.04250150000001)"
"(40.485304, -80.04576370000001)"
"(40.4842527, -80.05057440000002)"
"(40.47999129999999, -80.04418190000001)"
"(40.4770603, -80.04845119999999)"
"(40.4759987, -80.04086050000001)"
"(40.4715651, -80.03763170000002)"
"(40.446481, -80.02698509999999)"
"(40.44311130000001, -80.03079249999996)"
"(40.452909, -80.05453390000002)"
"(40.4610847, -80.05442449999998)"
"(40.46491839999999, -80.05353500000001)"
"(40.4525046, -80.04014410000002)"
"(40.4503063, -80.03618069999999)"
"(40.4389327, -80.0111422)"
"(40.4443354, -80.00924270000002)"
"(40.4071516, -80.03434520000002)"
"(40.4111597, -80.0223082)"
"(40.41701339999999, -80.01498930000002)"
"(40.4354799, -80.01231230000002)"
"(40.4339102, -80.03085169999997)"
"(40.4326804, -80.02985839999997)"
"(40.4266149, -80.05714669999998)"
"(40.4267062, -80.0598645)"
"(40.4271691, -80.06201369999997)"
"(40.4273953, -80.06376549999999)"
"(40.4280268, -80.06437829999999)"
